EC	count
1.3.8.1	6
1.3.8.10	1
1.3.8.11	1
1.3.8.12	1
1.3.8.13	1480
1.3.8.14	3
1.3.8.16	1
1.3.8.2	1
1.3.8.3	1
1.3.8.7	18158
1.3.8.8	18186
1.3.98.1	3154
1.3.98.3	31702
1.3.98.4	1
1.3.98.5	58
1.3.98.6	2
1.3.99.16	2
1.3.99.26	1
1.3.99.27	5
1.3.99.28	2
1.3.99.29	1
1.3.99.31	3
1.3.99.32	1
1.3.99.33	2892
1.3.99.36	1
1.3.99.38	3
1.3.99.4	5
1.3.99.5	1
1.3.99.n1	4
1.4.1.1	37984
1.4.1.11	2
1.4.1.12	1
1.4.1.13	3020
1.4.1.16	6486
1.4.1.17	2
1.4.1.18	1
1.4.1.2	37684
1.4.1.20	5
1.4.1.21	7946
1.4.1.23	2154
1.4.1.25	1
1.4.1.26	1
1.4.1.3	4
1.4.1.4	11
1.4.1.9	6
1.4.3.10	1
1.4.3.16	50724
1.4.3.19	8
1.4.3.2	1
1.4.3.20	1
1.4.3.21	5812
1.4.3.22	1
1.4.3.23	2
1.4.3.24	1
1.4.3.26	4
1.4.3.3	2
1.4.3.5	36896
1.4.4.2	73744
1.4.5.1	3
1.4.7.1	2
1.4.9.1	724
1.4.9.2	2
1.4.99.5	6
1.4.99.6	1
1.5.1.1	1
1.5.1.11	3
1.5.1.16	3
1.5.1.19	2
1.5.1.2	73424
1.5.1.20	74314
1.5.1.21	3
1.5.1.24	3
1.5.1.28	1
1.5.1.3	47864
1.5.1.30	1
1.5.1.34	1
1.5.1.36	1756
1.5.1.37	3
1.5.1.38	8
1.5.1.39	1
1.5.1.41	4
1.5.1.42	2400
1.5.1.43	2
1.5.1.45	1
1.5.1.47	1
1.5.1.49	13
1.5.1.5	77430
1.5.1.50	18
1.5.1.51	1
1.5.1.52	1
1.5.3.1	6384
1.5.3.10	1
1.5.3.19	1
1.5.3.21	1
1.5.3.6	1
1.5.5.1	26460
1.5.5.2	39306
1.5.8.1	1
1.5.8.2	1
1.5.99.14	3
1.6.1.1	6906
1.6.2.4	3970
1.6.3.4	2
1.6.3.5	2378
1.6.5.10	4
1.6.5.12	1
1.6.5.2	15034
1.6.5.5	3
1.6.5.6	1
1.6.5.7	1
1.6.5.9	42
1.6.99.1	1898
1.7.1.13	39008
1.7.1.15	5
1.7.1.16	2
1.7.1.17	43662
1.7.1.4	3
1.7.1.6	1
1.7.1.7	12948
1.7.2.1	10252
1.7.2.2	9902
1.7.2.3	6860
1.7.2.4	3360
1.7.2.5	2
1.7.2.6	1
1.7.2.7	2
1.7.2.8	1
1.7.3.3	6544
1.7.5.1	15818
1.7.7.1	2
1.7.99.1	16412
1.8.1.14	342
1.8.1.15	2
1.8.1.16	1
1.8.1.2	17558
1.8.1.20	1
1.8.1.4	100772
1.8.1.5	1
1.8.1.7	9232
1.8.1.8	19418
1.8.1.9	67932
1.8.2.2	4
1.8.2.3	2
1.8.2.4	1
1.8.3.4	2562
1.8.3.7	3
1.8.4.10	59
1.8.4.11	99208
1.8.4.12	82730
1.8.4.13	1
1.8.4.14	1
1.8.4.8	16186
1.8.5.3	4
1.8.5.4	2
1.8.5.5	1
1.8.5.6	1
1.8.5.7	2
1.8.7.1	15724
1.8.7.2	3838
1.8.99.2	1
1.8.99.5	4
1.9.6.1	8450
1.97.1.1	2
1.97.1.12	3756
1.97.1.2	2
1.97.1.4	18724
1.97.1.9	3
2.10.1.1	81556
2.1.1.10	3
2.1.1.101	1
2.1.1.102	1
2.1.1.106	1
2.1.1.107	12038
2.1.1.11	2
2.1.1.113	25228
2.1.1.13	48836
2.1.1.130	3542
2.1.1.131	4
2.1.1.132	4
2.1.1.133	6
2.1.1.137	3
2.1.1.14	28844
2.1.1.144	8708
2.1.1.148	25194
2.1.1.15	1
2.1.1.151	2088
2.1.1.152	3118
2.1.1.156	4
2.1.1.157	3
2.1.1.161	1
2.1.1.163	55050
2.1.1.164	1
2.1.1.166	26236
2.1.1.17	1
2.1.1.170	29256
2.1.1.171	13152
2.1.1.172	9724
2.1.1.173	12958
2.1.1.174	8904
2.1.1.176	33314
2.1.1.177	48774
2.1.1.178	4896
2.1.1.179	786
2.1.1.180	3
2.1.1.181	10834
2.1.1.182	69480
2.1.1.184	770
2.1.1.185	14966
2.1.1.186	9274
2.1.1.187	1
2.1.1.188	1
2.1.1.189	4370
2.1.1.190	16214
2.1.1.191	3894
2.1.1.192	64064
2.1.1.193	76696
2.1.1.195	13822
2.1.1.196	3
2.1.1.197	17388
2.1.1.198	69194
2.1.1.199	75308
2.1.1.200	27904
2.1.1.201	28254
2.1.1.207	47176
2.1.1.208	1
2.1.1.209	1
2.1.1.210	3
2.1.1.215	34
2.1.1.217	1
2.1.1.220	8584
2.1.1.222	24984
2.1.1.223	10966
2.1.1.224	392
2.1.1.226	2
2.1.1.227	2
2.1.1.228	73586
2.1.1.230	3
2.1.1.234	1
2.1.1.235	1
2.1.1.237	1
2.1.1.238	1
2.1.1.239	1
2.1.1.242	13598
2.1.1.243	1
2.1.1.250	2
2.1.1.254	1
2.1.1.255	4
2.1.1.256	1
2.1.1.258	1
2.1.1.264	12958
2.1.1.265	1
2.1.1.266	20856
2.1.1.269	2
2.1.1.271	3
2.1.1.272	1
2.1.1.281	1
2.1.1.284	1
2.1.1.285	1
2.1.1.288	2
2.1.1.289	3
2.1.1.292	2
2.1.1.294	2
2.1.1.295	1
2.1.1.297	68936
2.1.1.298	13424
2.1.1.301	1
2.1.1.302	1
2.1.1.303	1
2.1.1.304	1
2.1.1.305	1
2.1.1.306	1
2.1.1.307	1
2.1.1.308	1
2.1.1.315	1
2.1.1.316	1
2.1.1.324	1
2.1.1.327	1
2.1.1.328	1
2.1.1.329	1118
2.1.1.33	59688
2.1.1.331	1
2.1.1.332	1
2.1.1.333	1
2.1.1.334	4060
2.1.1.335	1
2.1.1.34	10322
2.1.1.341	1
2.1.1.342	1
2.1.1.343	1
2.1.1.344	1
2.1.1.347	0
2.1.1.35	11398
2.1.1.351	1
2.1.1.365	1
2.1.1.37	89438
2.1.1.374	5
2.1.1.38	1
2.1.1.44	4312
2.1.1.45	54960
2.1.1.47	1
2.1.1.6	1
2.1.1.61	15722
2.1.1.63	97640
2.1.1.64	24984
2.1.1.67	7900
2.1.1.72	179974
2.1.1.74	20750
2.1.1.77	32890
2.1.1.79	15
2.1.1.80	36822
2.1.1.n11	4
2.1.2.1	82720
2.1.2.10	54716
2.1.2.11	64290
2.1.2.13	5034
2.1.2.2	62154
2.1.2.3	61010
2.1.2.5	7956
2.1.2.9	79984
2.1.3.1	3
2.1.3.10	2
2.1.3.11	4574
2.1.3.12	1
2.1.3.15	102358
2.1.3.2	69938
2.1.3.3	64370
2.1.3.6	434
2.1.3.9	1162
2.1.4.2	4
2.1.4.3	1
2.2.1.1	66194
2.2.1.10	644
2.2.1.12	2
2.2.1.13	4
2.2.1.2	65164
2.2.1.5	922
2.2.1.6	131678
2.2.1.7	69362
2.2.1.8	1
2.2.1.9	23436
2.3.1.1	61738
2.3.1.101	2102
2.3.1.102	1
2.3.1.109	2700
2.3.1.111	1
2.3.1.117	35824
2.3.1.118	2
2.3.1.12	30198
2.3.1.122	3920
2.3.1.129	27668
2.3.1.136	1
2.3.1.15	15476
2.3.1.157	53930
2.3.1.16	13308
2.3.1.168	4
2.3.1.169	1
2.3.1.174	19328
2.3.1.178	8062
2.3.1.179	71406
2.3.1.18	2
2.3.1.180	68736
2.3.1.181	52996
2.3.1.182	19910
2.3.1.183	5
2.3.1.184	11780
2.3.1.187	1
2.3.1.189	7356
2.3.1.19	3
2.3.1.191	2922
2.3.1.193	6990
2.3.1.194	1
2.3.1.197	1
2.3.1.20	33940
2.3.1.200	188
2.3.1.201	1
2.3.1.202	1
2.3.1.203	2
2.3.1.204	3202
2.3.1.207	1
2.3.1.209	1
2.3.1.210	3500
2.3.1.222	10854
2.3.1.223	1
2.3.1.226	1
2.3.1.227	1
2.3.1.228	1
2.3.1.229	1
2.3.1.230	1
2.3.1.233	3
2.3.1.234	80096
2.3.1.236	1
2.3.1.237	1
2.3.1.239	2
2.3.1.240	2
2.3.1.241	12180
2.3.1.242	2786
2.3.1.243	5056
2.3.1.245	1630
2.3.1.246	3
2.3.1.247	3
2.3.1.251	3612
2.3.1.252	1
2.3.1.253	2
2.3.1.255	1
2.3.1.258	1
2.3.1.262	1
2.3.1.263	4
2.3.1.264	1
2.3.1.265	3
2.3.1.266	30370
2.3.1.267	5
2.3.1.269	50952
2.3.1.270	4
2.3.1.273	3
2.3.1.274	53936
2.3.1.275	53802
2.3.1.277	4
2.3.1.278	2
2.3.1.279	2
2.3.1.28	2786
2.3.1.280	2
2.3.1.282	1442
2.3.1.283	5
2.3.1.284	1
2.3.1.286	38860
2.3.1.287	5
2.3.1.288	5
2.3.1.29	21790
2.3.1.292	14
2.3.1.293	5
2.3.1.294	4
2.3.1.30	67028
2.3.1.31	34438
2.3.1.35	48578
2.3.1.37	10564
2.3.1.39	67938
2.3.1.40	3048
2.3.1.41	266
2.3.1.43	1
2.3.1.46	15586
2.3.1.47	20734
2.3.1.48	2
2.3.1.5	6
2.3.1.51	25808
2.3.1.53	1
2.3.1.54	21054
2.3.1.57	6
2.3.1.59	1
2.3.1.60	1
2.3.1.61	43946
2.3.1.74	1
2.3.1.75	3
2.3.1.79	2
2.3.1.8	19092
2.3.1.81	11990
2.3.1.82	3682
2.3.1.89	6146
2.3.1.9	34
2.3.1.n4	4
2.3.1.n5	1108
2.3.2.10	1
2.3.2.13	1278
2.3.2.16	14
2.3.2.17	2566
2.3.2.18	12
2.3.2.19	1
2.3.2.2	55834
2.3.2.20	1
2.3.2.21	2
2.3.2.22	5
2.3.2.26	1878
2.3.2.27	6082
2.3.2.28	1
2.3.2.29	20206
2.3.2.3	19380
2.3.2.30	5
2.3.2.6	34856
2.3.3.10	1
2.3.3.13	61428
2.3.3.14	4150
2.3.3.15	6
2.3.3.16	85100
2.3.3.18	1
2.3.3.19	1
2.3.3.20	2
2.3.3.3	3
2.3.3.5	9
2.3.3.9	43900
2.4.1.1	51456
2.4.1.10	13
2.4.1.109	13470
2.4.1.11	2
2.4.1.12	10516
2.4.1.122	1
2.4.1.129	246702
2.4.1.13	1214
2.4.1.14	2896
2.4.1.15	9162
2.4.1.152	1034
2.4.1.161	1
2.4.1.175	2
2.4.1.18	50996
2.4.1.180	3038
2.4.1.182	47256
2.4.1.187	6628
2.4.1.19	190
2.4.1.20	1
2.4.1.208	1
2.4.1.21	38454
2.4.1.211	3
