piece:2	epoch:16	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:666.2	device: cuda:0
piece:2	epoch:16	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:666.2	device: cuda:1
piece:2	epoch:17	loss:0.09481622	accuracy:0.94666667	lr:5.904900000000002e-05	seqs/sec:666.1	device: cuda:0
piece:2	epoch:17	loss:0.09490948	accuracy:0.94536667	lr:5.904900000000002e-05	seqs/sec:666.1	device: cuda:1
piece:2	epoch:18	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:665.4	device: cuda:0
piece:2	epoch:18	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:665.4	device: cuda:1
piece:2	epoch:19	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:666.2	device: cuda:0
piece:2	epoch:19	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:666.1	device: cuda:1
piece:2	epoch:20	loss:0.09481622	accuracy:0.94666667	lr:5.314410000000002e-05	seqs/sec:666.6	device: cuda:0
piece:2	epoch:20	loss:0.09490948	accuracy:0.94536667	lr:5.314410000000002e-05	seqs/sec:666.7	device: cuda:1
piece:2	epoch:21	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:665.5	device: cuda:0
piece:2	epoch:21	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:665.4	device: cuda:1
piece:2	epoch:22	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:667.6	device: cuda:1
piece:2	epoch:22	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:667.5	device: cuda:0
piece:2	epoch:23	loss:0.09481622	accuracy:0.94666667	lr:4.782969000000002e-05	seqs/sec:665.6	device: cuda:0
piece:2	epoch:23	loss:0.09490948	accuracy:0.94536667	lr:4.782969000000002e-05	seqs/sec:665.5	device: cuda:1
piece:2	epoch:24	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:666.1	device: cuda:0
piece:2	epoch:24	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:666.1	device: cuda:1
piece:2	epoch:25	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:666.9	device: cuda:0
piece:2	epoch:25	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:666.9	device: cuda:1
piece:2	epoch:26	loss:0.09481622	accuracy:0.94666667	lr:4.304672100000002e-05	seqs/sec:666.4	device: cuda:0
piece:2	epoch:26	loss:0.09490948	accuracy:0.94536667	lr:4.304672100000002e-05	seqs/sec:666.4	device: cuda:1
piece:2	epoch:27	loss:0.09481622	accuracy:0.94666667	lr:3.874204890000002e-05	seqs/sec:668.7	device: cuda:0
piece:2	epoch:27	loss:0.09490948	accuracy:0.94536667	lr:3.874204890000002e-05	seqs/sec:668.7	device: cuda:1
